original,result
0110110100101001,fail
0110001101100011,ok
0010100011000100,ok
0100111100100111,ok
1101111011111110,ok
0001110011011000,fail
0110100001001100,fail
1101101111111000,fail
0100100001101100,ok
1101011011110101,ok
0011000101011010,fail
0101000100101001,ok
0100101100110000,ok
1110001110010000,fail
1110010110010001,fail
1110110110010101,ok
1111011000001001,fail
0101100100110001,fail
0100000011100000,ok
0100010010110001,fail
0101101000010110,fail
0000000110010011,ok
0000100000000111,fail
0111110000101110,ok
0001111010100001,fail
0110011000111101,fail
0001011110110000,fail
0011111011100101,fail
1100111110001100,ok
1111010000000001,fail
0111000000011100,fail
1111011010011101,fail
0110000101100111,fail
0101000011011100,fail
0000100000010001,fail
1111011110011110,ok
1001000101111111,ok
0101101000110010,ok
0110000000110011,fail
0001100110100001,fail
0011110110110011,ok
0110010000100111,ok
1111000110010111,ok
1111010100000100,ok
0110011101101011,ok
0100011011011110,ok
0101110111100111,ok
1011010101010111,fail
1111110010100010,ok
1000011001000011,fail
0011110110110110,fail
1000011001000011,fail
0110010111100001,ok
0001001100010110,ok
1010000010001011,fail
0000000010100101,fail
0101101100110011,fail
0100001101011010,ok
0100000100110010,fail
1111000000000001,ok
0111101001000001,fail
0101011001101000,ok
1001010111110001,fail
0000010010011110,fail
0101110001101110,fail
1111101110100000,fail
0001000000010100,fail
0110000001101001,ok
0011110111011100,fail
0000010000010001,ok
1000110101111111,ok
0000111100010001,ok
0000001110100111,ok
1000111001111110,ok
1010111010001010,ok
0101110100110101,ok
1000001111101110,ok
0010100100100110,ok
0001110111001010,fail
0111101001010001,ok
1111011110011010,fail
0110010011100000,fail
1000000011101110,ok
0000011010101000,fail
0110100111100010,ok
1010111011110110,fail
0000101001011011,fail
0101111100110111,ok
1111100010011001,ok
0111100101110111,ok
1111101010011011,fail
0011000011001001,fail
0011110111010001,fail
0110101111011000,ok
0000101000001111,ok
1111101110011100,fail
0111001001110100,ok
0101101011100111,fail
0101110011100100,fail
0111100011001010,fail
0001001000010110,fail
0000110000001110,fail
1111100110011010,ok
1000010101110110,ok
0000001110100011,ok
0001011000010011,fail
1001110010000110,ok
1000011001111000,ok
1101001101010011,fail
0001100100010011,ok
1100110001001100,fail
1101000001010000,ok
1001010110000001,ok
0111000111011100,ok
0111111111101010,ok
1101110101011110,fail
1000000011101011,fail
1001100111110001,ok
0010110000100011,ok
0001011001100010,fail
0000101010101010,fail
0000101110101011,fail
1001111110000011,fail
1010100111111000,fail
0001011001101100,fail
1010100010111000,ok
1101010000101100,fail
0110000000111000,fail
1111100110011001,ok
1111110110011101,ok
0000111100010001,ok
0001010100010111,ok
0000000110100000,ok
1011000101010101,fail
